시트명,순번,제품명,이미지_개수,이미지_파일목록,HTML_파일경로
☆파일명 리스트(일반),01,맥세이프 터프 범퍼케이스,11,"00_A.jpg, 01_L.jpg, 02_H.jpg, 03_A.jpg, 04_A.jpg, 05_A.jpg, 18_A.jpg, 20_A.jpg, 30_A.jpg, 33_J.jpg, 34_A.jpg",C:\Users\custo\OneDrive\바탕 화면\HUSKFACTORY_v2\output\파일명 리스트(일반)\01_맥세이프 터프 범퍼케이스.txt
☆파일명 리스트(일반),02,카드 포켓케이스,11,"00_A.jpg, 01_L.jpg, 02_H.jpg, 03_A.jpg, 04_A.jpg, 05_A.jpg, 18_A.jpg, 20_A.jpg, 30_A.jpg, 33_J.jpg, 34_A.jpg",C:\Users\custo\OneDrive\바탕 화면\HUSKFACTORY_v2\output\파일명 리스트(일반)\02_카드 포켓케이스.txt
☆파일명 리스트(일반),03,터프 범퍼케이스,11,"00_A.jpg, 01_L.jpg, 02_H.jpg, 03_A.jpg, 04_A.jpg, 05_A.jpg, 18_A.jpg, 20_A.jpg, 30_A.jpg, 33_J.jpg, 34_A.jpg",C:\Users\custo\OneDrive\바탕 화면\HUSKFACTORY_v2\output\파일명 리스트(일반)\03_터프 범퍼케이스.txt
☆파일명 리스트(일반),04,하드케이스 무광/유광,11,"00_A.jpg, 01_L.jpg, 02_H.jpg, 03_A.jpg, 04_A.jpg, 05_A.jpg, 18_A.jpg, 20_A.jpg, 30_A.jpg, 33_J.jpg, 34_A.jpg",C:\Users\custo\OneDrive\바탕 화면\HUSKFACTORY_v2\output\파일명 리스트(일반)\04_하드케이스 무광_유광.txt
☆파일명 리스트(일반),05,하드케이스 무광/유광,11,"00_A.jpg, 01_K.jpg, 02_G.jpg, 03_A.jpg, 04_A.jpg, 05_A.jpg, 18_A.jpg, 20_A.jpg, 30_A.jpg, 33_J.jpg, 34_A.jpg",C:\Users\custo\OneDrive\바탕 화면\HUSKFACTORY_v2\output\파일명 리스트(일반)\05_하드케이스 무광_유광.txt
☆파일명 리스트(일반),06,맥세이프 카드포켓 무광/유광,11,"00_A.jpg, 01_J.jpg, 02_F.jpg, 03_A.jpg, 04_A.jpg, 05_A.jpg, 18_A.jpg, 20_A.jpg, 30_A.jpg, 33_J.jpg, 34_A.jpg",C:\Users\custo\OneDrive\바탕 화면\HUSKFACTORY_v2\output\파일명 리스트(일반)\06_맥세이프 카드포켓 무광_유광.txt
☆파일명 리스트(일반),07,오버로크 마우스패드,10,"00_A.jpg, 01_J.jpg, 02_F.jpg, 03_A.jpg, 04_A.jpg, 05_A.jpg, 20_A.jpg, 30_A.jpg, 33_J.jpg, 34_A.jpg",C:\Users\custo\OneDrive\바탕 화면\HUSKFACTORY_v2\output\파일명 리스트(일반)\07_오버로크 마우스패드.txt
☆파일명 리스트(일반),08,LED 키링,12,"00_A.jpg, 01_J.jpg, 02_F.jpg, 03_A.jpg, 04_A.jpg, 05_A.jpg, 12_D.jpg, 18_B.jpg, 20_A.jpg, 32_A.jpg, 33_J.jpg, 34_A.jpg",C:\Users\custo\OneDrive\바탕 화면\HUSKFACTORY_v2\output\파일명 리스트(일반)\08_LED 키링.txt
☆파일명 리스트(일반),09,금속 줄자 키링,12,"00_A.jpg, 01_J.jpg, 02_F.jpg, 03_A.jpg, 04_A.jpg, 05_A.jpg, 12_D.jpg, 18_B.jpg, 20_A.jpg, 32_A.jpg, 33_J.jpg, 34_A.jpg",C:\Users\custo\OneDrive\바탕 화면\HUSKFACTORY_v2\output\파일명 리스트(일반)\09_금속 줄자 키링.txt
☆파일명 리스트(일반),10,머그컵 11OZ,10,"00_A.jpg, 01_F.jpg, 02_F.jpg, 03_A.jpg, 04_A.jpg, 05_A.jpg, 20_A.jpg, 30_A.jpg, 33_J.jpg, 34_A.jpg",C:\Users\custo\OneDrive\바탕 화면\HUSKFACTORY_v2\output\파일명 리스트(일반)\10_머그컵 11OZ.txt
